start_dt,match_type,rule,map_type,map,cost,result,medi_rating,num_member,num_ally_raid,num_ally_general,num_ally_support,num_ally_disconnect,num_enemy_raid,num_enemy_general,num_enemy_support,num_enemy_disconnect,ally_team,my_ms,my_category,new_rating,result_rival,score,assist,damage,diversion,defeat_cnt,loss_cnt,chase_assist
2021-08-16T02:24:55.332172,クイック,ベーシック,地上,軍事基地,250,lose,A+,5,1,3,1,0,1,3,1,0,team_a,ザクⅠ指揮官仕様,支援,,lose,1775,75,55450,0.1814,6,4,5000
2021-08-16T02:35:29.032517,レーティングマッチ,エースマッチ,地上,北極基地,500,lose,A,5,0,4,1,0,1,3,1,0,team_a,マドロック,支援,2560,win,2375,1800,92993,0.1538,1,3,4900
2021-08-18T00:09:26.550219,レーティングマッチ,ベーシック,地上,密林地帯,450,lose,A+,6,1,4,1,0,1,4,1,0,team_a,高機動型ゲルググ（VG）,汎用,2551,win,2753,810,80103,0.1631,3,3,28100
2021-08-18T00:20:42.821407,レーティングマッチ,ベーシック,地上,密林地帯,450,win,A+,6,1,4,1,0,1,4,1,0,team_a,高機動型ゲルググ（VG）,汎用,2564,win,3010,660,92831,0.1915,5,3,15400
2021-08-18T19:07:02.240795,レーティングマッチ,ベーシック,宇宙,暗礁宙域,500,win,A+,6,1,4,1,0,1,4,1,0,team_b,ジム・ナイトシーカー（V）,強襲,2462,win,1575,450,63907,0.1736,2,4,13600
2021-08-18T19:17:46.682343,レーティングマッチ,ベーシック,宇宙,資源衛星,500,lose,A+,6,1,4,1,0,1,4,1,0,team_b,フルアーマー・ガンダム【TB】,強襲,2444,lose,1350,300,45535,0.1641,2,4,5900
2021-08-18T19:50:07.708898,レーティングマッチ,ベーシック,宇宙,宇宙要塞内部,600,win,A,6,1,4,1,0,0,3,1,2,team_b,ガンダム試作1号機Fb,汎用,2444,win,3810,1260,108316,0.1134,4,1,17700
2021-08-18T23:32:49.712190,レーティングマッチ,ベーシック,宇宙,月軌道デブリ帯,500,win,A,6,1,4,1,0,1,4,1,0,team_b,ビショップ,支援,2476,win,2000,300,62125,0.1562,3,3,200
2021-08-18T23:44:51.758127,レーティングマッチ,ベーシック,宇宙,月軌道デブリ帯,500,lose,A,6,1,4,1,0,1,4,1,0,team_b,ビショップ,支援,2458,lose,1125,600,68064,0.1273,1,3,6000
2021-08-19T00:16:50.292115,レーティングマッチ,ベーシック,地上,墜落跡地,650,win,A+,6,1,3,2,0,0,4,2,0,team_a,トリスタン,汎用,2579,win,3844,975,51682,0.1777,2,2,13100
2021-08-19T00:31:11.130378,レーティングマッチ,ベーシック,地上,墜落跡地,650,lose,A+,6,1,4,1,0,1,4,1,0,team_b,トーリス・リッター,汎用,2564,lose,3195,1170,80482,0.1637,3,4,12500
2021-08-19T00:45:52.794129,レーティングマッチ,エースマッチ,宇宙,資源衛星,450,lose,A,5,1,3,1,0,1,3,1,0,team_b,リック・ドムⅡ（GH）,強襲,2445,lose,4895,1620,73657,0.1513,5,3,16100
2021-08-19T01:03:17.280526,レーティングマッチ,ベーシック,地上,廃墟都市,350,win,A+,6,1,4,1,0,2,3,1,0,team_a,ペイルライダー・キャバルリー,汎用,2574,win,1535,735,62853,0.1532,2,3,10800
2021-08-19T01:19:20.157546,レーティングマッチ,ベーシック,地上,廃墟都市,350,win,A+,6,1,4,1,0,1,4,1,0,team_b,アクア・ジム,汎用,2591,win,2870,420,69474,0.1086,6,1,15800
2021-08-19T01:32:41.710152,レーティングマッチ,エースマッチ,宇宙,資源衛星,450,win,A,5,1,3,1,0,1,3,1,0,team_b,ネロ,汎用,2458,win,4290,540,76900,0.2649,6,4,11400
2021-08-19T01:49:00.882580,レーティングマッチ,ベーシック,地上,墜落跡地,650,lose,A+,6,0,3,3,0,0,5,1,0,team_a,Ζガンダム［HML］,支援,2582,win,4475,975,103353,0.1955,5,2,10000
2021-08-19T02:13:16.190810,レーティングマッチ,ベーシック,地上,廃墟都市,700,lose,A+,5,0,4,1,0,0,3,2,0,team_a,Ζガンダム［HML］,支援,2565,lose,3740,840,91681,0.1608,4,3,6200
2021-08-19T02:28:16.370848,レーティングマッチ,ベーシック,地上,墜落跡地,700,lose,A+,5,0,4,1,0,0,4,1,0,team_a,Ζガンダム［HML］,支援,2550,lose,1495,1470,91484,0.1291,0,1,9600
2021-08-19T02:41:09.969065,レーティングマッチ,エースマッチ,地上,熱帯砂漠,400,win,A,5,1,3,1,0,1,3,1,0,team_a,ジム・SC［ML装備］,支援,2563,win,6160,360,80382,0.1538,8,1,2100
2021-08-19T22:03:52.957000,レーティングマッチ,ベーシック,地上,北極基地,650,lose,A+,5,0,2,3,0,1,3,1,0,team_b,トーリス・リッター,汎用,2533,lose,2660,585,87244,0.1594,3,3,18300
2021-08-19T22:19:09.981558,レーティングマッチ,ベーシック,地上,廃墟都市,600,win,S-,6,1,2,3,0,1,2,3,0,team_b,メタス改,支援,2541,lose,2019,720,65996,0.1351,1,3,8400
2021-08-19T22:29:33.711929,レーティングマッチ,ベーシック,地上,廃墟都市,600,win,A+,6,1,3,2,0,0,4,2,0,team_a,零式,汎用,2554,win,3220,720,77717,0.1417,4,3,13300
2021-08-19T22:40:55.847954,レーティングマッチ,ベーシック,地上,廃墟都市,600,win,A+,6,1,3,2,0,1,3,1,1,team_b,零式,汎用,2567,win,2775,900,87807,0.1204,3,2,18000
2021-08-19T23:15:22.090194,レーティングマッチ,ベーシック,地上,廃墟都市,600,lose,A+,6,1,3,2,0,1,3,2,0,team_b,フルアーマーガンダム［タイプB］,支援,2555,lose,1395,720,68969,0.1812,1,2,11600
2021-08-20T00:15:08.791417,レーティングマッチ,ベーシック,地上,廃墟都市,600,win,A+,6,1,2,3,0,1,3,2,0,team_a,フルアーマーガンダム［タイプB］,支援,2592,win,3995,720,68214,0.1423,5,2,31300
2021-08-20T00:28:30.731263,レーティングマッチ,ベーシック,地上,廃墟都市,600,lose,A+,6,1,3,2,0,2,2,2,0,team_b,フルアーマーガンダム［タイプB］,支援,2581,win,3845,720,89346,0.1041,5,2,10300
2021-08-20T00:42:56.948367,レーティングマッチ,ベーシック,地上,廃墟都市,600,win,A+,6,1,3,2,0,1,2,3,0,team_b,フルアーマーガンダム［タイプB］,支援,2594,win,3606,531,86831,0.1128,5,0,6300
2021-08-20T00:53:50.926905,レーティングマッチ,ベーシック,地上,廃墟都市,600,win,A+,6,1,3,2,0,1,3,1,1,team_a,フルアーマーガンダム［タイプB］,支援,2608,win,2775,900,82428,0.1348,3,0,25100
2021-08-20T01:06:01.307791,レーティングマッチ,ベーシック,地上,廃墟都市,600,lose,A+,6,1,2,3,0,1,3,2,0,team_a,フルアーマーガンダム［タイプB］,支援,2593,lose,2355,1080,65225,,2,3,7400
2021-08-20T01:17:49.603282,レーティングマッチ,ベーシック,地上,廃墟都市,600,win,A+,6,1,2,3,0,1,3,2,0,team_a,メタス改,支援,2600,lose,3219,720,70207,0.1428,3,3,9100
2021-08-20T23:23:58.428245,レーティングマッチ,ベーシック,宇宙,廃墟コロニー,650,win,A,6,1,4,1,0,0,4,2,0,team_b,トーリス・リッター,汎用,2442,lose,4093,768,71304,0.1214,4,3,10700
2021-08-20T23:35:15.824241,レーティングマッチ,ベーシック,地上,廃墟都市,500,win,S-,6,1,4,1,0,1,4,1,0,team_a,ネモⅢ,支援,2611,win,1125,600,55200,0.17,1,4,12900
2021-08-20T23:46:24.529752,レーティングマッチ,ベーシック,地上,廃墟都市,500,lose,A,6,1,4,1,0,1,4,1,0,team_a,ジム・ナイトシーカー（V）,強襲,2594,lose,2325,600,66488,0.1416,3,4,22200
