this_mission_started,elapsed_time,score_ally,score_enemy
1622727658,0,0,0
1622727658,10,0,0
1622727658,21,0,0
1622727658,32,50,725
1622727658,42,50,1790
1622727658,53,50,1790
1622727658,64,50,1790
1622727658,74,50,1790
1622727658,85,50,1790
1622727658,96,920,3335
1622727658,106,920,4010
1622727658,117,920,4010
1622727658,128,1790,5075
1622727658,138,1790,5075
1622727658,149,2465,5800
1622727658,160,2465,6475
1622727658,170,2465,6475
1622727658,181,2465,6575
1622727658,192,2465,7250
1622727658,202,2465,8120
1622727658,213,2465,10250
1622727658,224,2465,10250
1622727658,234,2465,10275
1622727658,245,2465,10275
1622727658,255,2465,10275
1622727658,266,6675,10275
1622727658,277,8650,10275
1622727658,287,8700,10275
1622727658,298,8700,10275
1622727658,309,8700,10275
1622727658,319,8700,10275
1622727658,330,8700,12250
1622727658,341,10870,12250
1622727658,351,10870,14810
1622727658,362,12805,16980
1622727658,373,12805,16980
1622727658,383,15950,16980
1622727658,394,15950,16980
1622727658,405,19575,16980
1622727658,464,19575,16980
1622731342,0,0,0
1622731342,15,0,0
1622731342,31,50,100
1622731342,46,50,100
1622731342,62,50,100
1622731342,77,1400,775
1622731342,93,2600,775
1622731342,108,4100,775
1622731342,124,4150,1625
1622731342,140,4200,2125
1622731342,155,4200,3775
1622731342,171,4200,4300
1622731342,186,4975,4975
1622731342,202,4975,5650
1622731342,217,4975,7150
1622731342,233,4975,7975
1622731342,248,4975,8025
1622731342,264,5025,8100
1622731342,280,5850,8150
1622731342,295,7200,8150
1622731342,311,8400,9650
1622731342,326,12335,9650
1622731342,342,12335,9650
1622731342,357,12385,9650
1622731342,373,12385,9750
1622731342,388,12385,9750
1622731342,404,12385,11250
1622731342,420,12385,12075
1622731342,435,12385,14125
1622731342,451,12385,14125
1622731342,466,12385,14125
1622731342,482,14935,14125
1622732062,0,0,0
1622732062,15,0,0
1622732062,31,100,50
1622732062,46,100,100
1622732062,62,100,925
1622732062,77,1600,1600
1622732062,93,2800,1600
1622732062,108,2800,1600
1622732062,124,2800,1600
1622732062,139,3475,2125
1622732062,155,3475,2125
1622732062,170,5125,2800
1622732062,186,6475,2800
1622732062,202,6500,3775
1622732062,217,7200,3800
1622732062,233,7200,3800
1622732062,248,7200,3800
1622732062,264,8400,5725
1622732062,279,8400,5775
1622732062,295,8400,6450
1622732062,310,8400,7100
1622732062,326,8400,7125
1622732062,341,9750,7125
1622732062,357,10575,7125
1622732062,372,12300,7125
1622732062,388,13125,7125
1622732062,403,13125,7125
1622732062,419,13125,7125
1622732062,434,13125,7125
1622732062,450,13125,7800
1622732062,465,15300,7800
1622732062,481,15825,7800
1622732870,0,0,0
1622732870,15,0,0
1622732870,31,50,50
1622732870,46,50,50
1622732870,62,50,575
1622732870,77,1550,1250
1622732870,93,1560,1250
1622732870,109,2225,1250
1622732870,124,3425,1250
1622732870,140,3475,2750
1622732870,155,3475,3575
1622732870,171,3475,4400
1622732870,186,4000,5075
1622732870,202,4000,5900
1622732870,217,4000,5900
1622732870,233,4675,5900
1622732870,248,5875,6575
1622732870,264,6400,6575
1622732870,280,7750,6575
1622732870,295,8425,6575
1622732870,311,8475,7250
1622732870,326,8475,7300
1622732870,342,8550,8825
1622732870,357,8550,10325
1622732870,373,8550,10325
1622732870,389,8550,11525
1622732870,404,9125,11575
1622732870,420,9125,11625
1622732870,435,11275,12450
1622732870,451,11275,12450
1622732870,466,15562,12525
1622732870,482,15562,13400
1622809366,0,0,0
1622809366,15,0,0
1622809366,30,0,0
1622809366,45,675,650
1622809366,61,725,1175
1622809366,76,775,2525
1622809366,91,775,4175
1622809366,106,775,4275
1622809366,122,775,4400
1622809366,137,775,4450
1622809366,152,1375,4550
1622809366,168,2700,4600
1622809366,183,3525,4600
1622809366,198,4275,4650
1622809366,213,4500,4700
1622809366,229,4560,7710
1622809366,244,4550,7710
1622809366,259,5200,9105
1622809366,274,5200,9235
1622809366,290,8285,11460
1622809366,305,8335,12205
1622809366,320,8360,12360
1622809366,336,8360,12935
1622809366,351,8360,13035
1622809366,366,11060,13035
1622809366,381,11735,13035
1622809366,397,11810,13035
1622809366,412,11935,13005
1622809366,427,11985,13005
1622809366,443,11985,13005
1622809366,458,12660,14205
1622809366,473,13860,15110
1622810071,0,0,0
1622810071,15,0,0
1622810071,30,0,0
1622810071,45,825,0
1622810071,61,1500,800
1622810071,76,2150,1325
1622810071,91,3500,1450
1622810071,106,4175,2275
1622810071,122,4200,2775
1622810071,137,4200,2775
1622810071,152,5450,2775
1622810071,168,6275,2775
1622810071,183,7825,2775
1622810071,198,8775,2775
1622810071,213,8775,2775
1622810071,229,8775,3450
1622810071,244,9450,4125
1622810071,259,10125,5625
1622810071,275,10125,5625
1622810071,290,10800,6300
1622810071,305,10800,6300
1622810071,320,11475,7125
1622810071,336,12150,7800
1622810071,351,12150,7800
1622810071,366,12825,9975
1622810071,382,12825,10650
1622810071,397,12825,12300
1622810071,412,12825,12300
1622810071,427,12825,12350
